,sparsity_rate_orig,sparsity_rate_whole,original_range,mm_baseline_size,bic_mm_size
0,0.0027889137604211016,0.0027889137604211016,1260,452523.0,367056.0
1,0.0024166182080802407,0.0024166182080802407,2255,493960.0,342532.0
2,0.0027647886440419754,0.0027647886440419754,806,416502.0,337183.0
3,0.002850122908576598,0.002850122908576598,430,407320.0,346503.0
4,0.0022749687824080932,0.0022749687824080932,2039,408462.0,317345.0
5,0.003091886732408461,0.003091886732408461,1806,584440.0,457126.0
6,0.002471046164545949,0.002471046164545949,508,389946.0,322456.0
7,0.0031609892108134317,0.0031609892108134317,834,488124.0,409575.0
8,0.003056807400379507,0.003056807400379507,656,463950.0,356407.0
9,0.0027865329627706293,0.0027865329627706293,4456,584157.0,437186.0
